"Gender","Age","Tribe","Height","color","Mathdifi"
"Male",23,"Tsonga",180,"Blue","Disagree"
"Female",26,"Other",168,"Pink","Neutral"
"Male",22,"Other",188,"Blue","Neutral"
"Female",22,"Pedi",140,"Pink","Neutral"
"Male",21,"Venda",185,"Blue","Disagree"
"Male",54,"Venda",175,"Blue","Disagree"
"Male",22,"Venda",185,"Blue","Disagree"
"Female",24,"Tsonga",174,"Blue","Neutral"
"Male",25,"Tsonga",170,"Blue","Neutral"
"Female",22,"Venda",164,"Blue","Disagree"
"Female",10,"Venda",157,"Pink","Disagree"
"Female",54,"Venda",166,"Pink","Neutral"
"Male",29,"Venda",157,"Blue","Neutral"
"Female",31,"Pedi",167,"Blue","Neutral"
"Female",21,"Venda",180,"Pink","Neutral"
"Female",22,"Venda",150,"Blue","Disagree"
"Female",22,"Other",152,"Blue","Neutral"
"Female",50,"Tsonga",165,"Blue","Agree"
"Female",36,"Tsonga",177,"Pink","Neutral"
"Male",24,"Venda",169,"Blue","Disagree"